redirect_type,old_path,new_slug,redirect_target,redirect_rule,notes,old_url
RENAMED,user-guide/install/edge/docker,edge/installation/docker,/docs/edge/installation/docker/,/docs/user-guide/install/edge/docker/ /docs/edge/installation/docker/ 301,,https://thingsboard.io/docs/user-guide/install/edge/docker/
RENAMED,user-guide/install/edge/docker-windows,edge/installation/docker-windows,/docs/edge/installation/docker-windows/,/docs/user-guide/install/edge/docker-windows/ /docs/edge/installation/docker-windows/ 301,,https://thingsboard.io/docs/user-guide/install/edge/docker-windows/
RENAMED,user-guide/install/edge/installation-options,edge/installation,/docs/edge/installation/,/docs/user-guide/install/edge/installation-options/ /docs/edge/installation/ 301,,https://thingsboard.io/docs/user-guide/install/edge/installation-options/
RENAMED,user-guide/install/edge/rhel,edge/installation/rhel,/docs/edge/installation/rhel/,/docs/user-guide/install/edge/rhel/ /docs/edge/installation/rhel/ 301,,https://thingsboard.io/docs/user-guide/install/edge/rhel/
RENAMED,user-guide/install/installation-options,installation,/docs/installation/,/docs/user-guide/install/installation-options/ /docs/installation/ 301,,https://thingsboard.io/docs/user-guide/install/installation-options/
RENAMED,user-guide/install/pe/config,reference/configuration/how-to-change-config,/docs/reference/configuration/how-to-change-config/,/docs/user-guide/install/pe/config/ /docs/reference/configuration/how-to-change-config/ 301,,https://thingsboard.io/docs/user-guide/install/pe/config/
RENAMED,user-guide/install/pe/edge/installation-options,edge/installation,/docs/edge/installation/,/docs/user-guide/install/pe/edge/installation-options/ /docs/edge/installation/ 301,,https://thingsboard.io/docs/user-guide/install/pe/edge/installation-options/
RENAMED,user-guide/install/pe/installation-options,installation,/docs/installation/,/docs/user-guide/install/pe/installation-options/ /docs/installation/ 301,,https://thingsboard.io/docs/user-guide/install/pe/installation-options/
RENAMED,user-guide/install/rhel,installation/rhel,/docs/installation/rhel/,/docs/user-guide/install/rhel/ /docs/installation/rhel/ 301,,https://thingsboard.io/docs/user-guide/install/rhel/
RENAMED,user-guide/install/rpi,installation/rpi,/docs/installation/rpi/,/docs/user-guide/install/rpi/ /docs/installation/rpi/ 301,,https://thingsboard.io/docs/user-guide/install/rpi/
RENAMED,user-guide/install/ubuntu,installation/ubuntu,/docs/installation/ubuntu/,/docs/user-guide/install/ubuntu/ /docs/installation/ubuntu/ 301,,https://thingsboard.io/docs/user-guide/install/ubuntu/
RENAMED,user-guide/telemetry,user-guide/digital-twins/time-series-data,/docs/user-guide/digital-twins/time-series-data/,/docs/user-guide/telemetry/ /docs/user-guide/digital-twins/time-series-data/ 301,,https://thingsboard.io/docs/user-guide/telemetry/
CONSOLIDATED,user-guide/install/edge/upgrade-instructions/centos/v3-3-x,edge/installation/upgrade-instructions/centos,/docs/edge/installation/upgrade-instructions/centos/,/docs/user-guide/install/edge/upgrade-instructions/centos/v3-3-x/ /docs/edge/installation/upgrade-instructions/centos/ 301,Edge CentOS upgrade versions consolidated,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/centos/v3-3-x/
CONSOLIDATED,user-guide/install/edge/upgrade-instructions/centos/v3-4-x,edge/installation/upgrade-instructions/centos,/docs/edge/installation/upgrade-instructions/centos/,/docs/user-guide/install/edge/upgrade-instructions/centos/v3-4-x/ /docs/edge/installation/upgrade-instructions/centos/ 301,Edge CentOS upgrade versions consolidated,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/centos/v3-4-x/
